date,CC13_01_Nahrungsmittel_und_alkoholfreie_Getränke,CC13_02_Alkoholische_Getränke_und_Tabakwaren,CC13_03_Bekleidung_und_Schuhe,CC13_04_Wohnung_Wasser_Strom_Gas_und_andere_Brennstoffe,CC13_05_Möbel_Leuchten_Geräte_u.a._Haushaltszubehör,CC13_06_Gesundheit,CC13_07_Verkehr,CC13_08_Post_und_Telekommunikation,CC13_09_Freizeit_Unterhaltung_und_Kultur,CC13_10_Bildungswesen,CC13_11_Gaststätten__und_Beherbergungsdienstleistungen,CC13_12_Andere_Waren_und_Dienstleistungen
2006-10-15,115.71428571428572,164.14342629482073,110.7398568019093,162.61682242990653,113.34149326805385,155.96638655462186,159.11602209944752,75.9872611464968,111.53846153846156,198.57819905213267,136.04651162790697,145.31772575250838
2006-11-15,116.14285714285715,164.3426294820717,110.62052505966588,162.61682242990653,113.83108935128519,155.96638655462186,158.74769797421732,75.73248407643312,110.54590570719603,198.81516587677726,136.54485049833886,146.15384615384616
2006-12-15,116.71428571428572,164.3426294820717,110.62052505966588,162.61682242990653,113.83108935128519,155.96638655462186,159.11602209944752,75.60509554140128,115.2605459057072,198.81516587677726,143.35548172757473,146.3210702341137
2007-01-15,118.0,165.13944223107572,107.87589498806685,163.5514018691589,114.07588739290087,157.14285714285714,162.06261510128914,76.68789808917198,110.9181141439206,200.0,138.03986710963454,147.65886287625418
2007-02-15,118.0,165.13944223107572,108.71121718377088,163.92523364485982,114.07588739290087,157.14285714285714,162.79926335174957,76.4968152866242,113.52357320099256,200.0,139.70099667774085,147.9933110367893
2007-03-15,117.71428571428572,165.13944223107572,110.85918854415276,164.11214953271028,114.19828641370869,157.47899159663865,164.6408839779006,76.4968152866242,112.53101736972707,200.47393364928908,138.70431893687706,148.49498327759198
2007-04-15,119.28571428571428,165.13944223107572,111.21718377088305,164.29906542056077,114.44308445532437,157.64705882352942,166.4825046040516,76.36942675159236,111.78660049627791,254.50236966824642,138.87043189368768,148.8294314381271
2007-05-15,118.85714285714286,165.33864541832668,110.26252983293557,164.29906542056077,114.68788249694002,157.47899159663865,167.0349907918969,76.30573248407643,111.53846153846156,254.73933649289097,139.8671096345515,148.66220735785956
2007-06-15,119.28571428571428,165.33864541832668,109.6658711217184,164.6728971962617,114.68788249694002,157.64705882352942,167.4033149171271,75.92356687898089,110.79404466501242,254.73933649289097,141.36212624584715,148.66220735785956
2007-07-15,119.28571428571428,165.53784860557766,107.39856801909309,165.0467289719626,114.81028151774785,158.15126050420167,168.13996316758747,75.54140127388534,114.39205955334988,254.73933649289097,145.3488372093023,148.8294314381271
2007-08-15,119.42857142857142,165.53784860557766,107.39856801909309,165.2336448598131,114.81028151774785,157.98319327731093,167.0349907918969,75.47770700636943,113.77171215880895,256.3981042654028,144.85049833887044,148.99665551839465
2007-09-15,120.0,165.53784860557766,111.45584725536995,165.60747663551402,115.2998776009792,157.98319327731093,167.77163904235726,75.35031847133757,112.40694789081887,255.68720379146922,141.36212624584715,148.99665551839465
2007-10-15,122.42857142857144,165.73705179282868,112.52983293556088,165.98130841121494,115.422276621787,158.15126050420167,167.4033149171271,75.09554140127389,111.66253101736973,265.8767772511848,140.19933554817277,148.99665551839465
2007-11-15,124.14285714285715,166.53386454183266,112.64916467780431,166.7289719626168,115.7894736842105,158.31932773109244,170.902394106814,74.90445859872611,110.9181141439206,265.8767772511848,140.19933554817277,149.49832775919734
2007-12-15,124.85714285714286,166.53386454183266,111.45584725536995,166.7289719626168,115.7894736842105,158.15126050420167,168.8766114180479,74.71337579617834,116.00496277915633,265.63981042654024,147.3421926910299,149.49832775919734
2008-01-15,126.57142857142856,166.93227091633466,108.47255369928402,167.85046728971963,115.7894736842105,159.6638655462185,169.98158379373848,74.39490445859872,110.66997518610422,267.06161137440756,141.0299003322259,150.66889632107024
2008-02-15,126.71428571428571,167.52988047808765,110.26252983293557,168.411214953271,116.03427172582619,159.49579831932775,169.7974217311234,74.14012738853503,112.65508684863524,268.7203791469194,142.85714285714286,151.00334448160535
2008-03-15,127.42857142857143,167.13147410358567,111.81384248210024,168.97196261682242,116.27906976744187,159.15966386554624,172.19152854511972,73.94904458598725,113.0272952853598,268.7203791469194,143.35548172757473,151.17056856187293
2008-04-15,127.85714285714285,168.12749003984064,111.93317422434367,169.53271028037383,116.40146878824969,159.83193277310923,172.3756906077348,73.88535031847134,109.30521091811414,269.6682464454976,141.36212624584715,151.33779264214047
2008-05-15,127.85714285714285,168.32669322709162,110.85918854415276,170.65420560747663,116.27906976744187,160.16806722689074,175.13812154696134,73.56687898089172,110.9181141439206,269.9052132701422,142.6910299003322,151.67224080267562
2008-06-15,127.85714285714285,169.12350597609563,109.90453460620525,171.21495327102804,116.15667074663403,160.67226890756302,176.79558011049724,73.12101910828025,110.9181141439206,269.9052132701422,144.35215946843854,151.67224080267562
2008-07-15,128.14285714285714,169.3227091633466,106.56324582338902,171.9626168224299,116.27906976744187,161.00840336134453,178.08471454880296,73.05732484076434,114.39205955334988,269.9052132701422,148.33887043189367,151.67224080267562
2008-08-15,127.71428571428571,169.5219123505976,108.83054892601433,171.58878504672896,116.64626682986537,161.00840336134453,174.76979742173114,72.73885350318471,114.14392059553352,265.4028436018957,148.17275747508305,151.67224080267562
2008-09-15,127.42857142857143,169.5219123505976,112.52983293556088,171.9626168224299,116.89106487148102,161.00840336134453,175.13812154696134,72.54777070063695,112.53101736972707,263.27014218009475,144.35215946843854,151.67224080267562
2008-10-15,127.71428571428571,169.72111553784862,113.72315035799522,172.33644859813083,117.1358629130967,160.8403361344538,171.2707182320442,72.4203821656051,111.91066997518611,255.4502369668246,144.1860465116279,151.83946488294316
2008-11-15,126.57142857142856,169.72111553784862,113.36515513126493,171.9626168224299,117.25826193390452,161.00840336134453,167.0349907918969,72.48407643312102,112.28287841191067,255.4502369668246,143.02325581395348,152.00668896321073
2008-12-15,127.28571428571426,169.72111553784862,112.17183770883055,170.84112149532712,117.38066095471235,161.1764705882353,164.27255985267038,72.29299363057325,117.49379652605461,255.4502369668246,151.1627906976744,152.00668896321073
